left,right,front,steering
709.0,509.0,2091.0,-7.0
591.0,483.0,2339.0,-12.0
541.0,483.0,2219.0,-7.0
491.0,459.0,2157.0,-2.0
462.0,446.0,2059.0,-2.0
479.0,443.0,2077.0,-2.0
492.0,438.0,1957.0,-2.0
499.0,438.0,1915.0,-2.0
484.0,449.0,1915.0,-2.0
482.0,449.0,1915.0,-2.0
484.0,456.0,1870.0,-2.0
476.0,444.0,1747.0,-2.0
481.0,444.0,1748.0,-2.0
478.0,450.0,1634.0,-2.0
478.0,461.0,0.0,-2.0
482.0,461.0,1440.0,-2.0
466.0,466.0,1355.0,-2.0
472.0,462.0,1290.0,-7.0
468.0,499.0,1224.0,-7.0
468.0,1594.0,1116.0,-7.0
483.0,1883.0,1116.0,-12.0
516.0,1213.0,898.0,-12.0
945.0,864.0,876.0,-7.0
1060.0,665.0,1075.0,-7.0
1240.0,665.0,1044.0,-7.0
1422.0,679.0,1020.0,-7.0
1448.0,692.0,850.0,-7.0
1457.0,697.0,1026.0,-12.0
1055.0,649.0,1051.0,-12.0
1055.0,583.0,1872.0,-7.0
630.0,534.0,2116.0,-13.0
560.0,521.0,2198.0,-7.0
494.0,500.0,2130.0,-7.0
474.0,489.0,2209.0,-7.0
483.0,483.0,2073.0,-7.0
477.0,472.0,2057.0,-2.0
486.0,469.0,1984.0,-2.0
494.0,466.0,1935.0,-2.0
501.0,466.0,1935.0,-2.0
494.0,465.0,1888.0,-2.0
501.0,460.0,1875.0,-2.0
501.0,455.0,1783.0,-2.0
514.0,455.0,1783.0,-2.0
500.0,458.0,1783.0,-2.0
503.0,464.0,1570.0,-2.0
503.0,461.0,1549.0,-2.0
510.0,462.0,0.0,-2.0
499.0,462.0,1277.0,-2.0
499.0,2068.0,1277.0,-2.0
497.0,2266.0,1141.0,-7.0
518.0,2203.0,1141.0,-12.0
518.0,1446.0,923.0,-12.0
570.0,1038.0,868.0,-7.0
667.0,1063.0,0.0,-7.0
1096.0,962.0,822.0,-12.0
1255.0,962.0,808.0,-12.0
1519.0,722.0,1058.0,-7.0
1317.0,623.0,1223.0,-7.0
1053.0,585.0,1429.0,-7.0
724.0,585.0,1639.0,-7.0
724.0,597.0,1639.0,-16.0
602.0,597.0,1777.0,-12.0
489.0,566.0,2147.0,-7.0
489.0,521.0,2147.0,-2.0
487.0,475.0,2027.0,-2.0
492.0,486.0,0.0,-2.0
479.0,488.0,2096.0,-7.0
476.0,484.0,1983.0,-2.0
469.0,484.0,1983.0,-2.0
481.0,479.0,1882.0,-2.0
465.0,479.0,1818.0,-2.0
471.0,483.0,1781.0,-7.0
471.0,481.0,1659.0,-7.0
479.0,471.0,1659.0,-2.0
479.0,471.0,1659.0,-2.0
484.0,476.0,1495.0,-2.0
512.0,469.0,1468.0,-2.0
498.0,469.0,1468.0,3.0
498.0,2230.0,1348.0,-2.0
465.0,2247.0,1152.0,-7.0
465.0,2317.0,0.0,-12.0
484.0,1783.0,924.0,-12.0
565.0,1145.0,871.0,-12.0
694.0,922.0,862.0,-7.0
1039.0,879.0,847.0,-7.0
1181.0,879.0,841.0,-12.0
1179.0,879.0,1077.0,-12.0
1200.0,710.0,1305.0,-7.0
1116.0,644.0,1332.0,-7.0
1116.0,604.0,1332.0,-12.0
766.0,601.0,1488.0,-12.0
610.0,553.0,2216.0,-12.0
550.0,502.0,2137.0,-7.0
550.0,481.0,2137.0,-2.0
495.0,485.0,2075.0,-2.0
494.0,480.0,2109.0,-2.0
482.0,486.0,2090.0,-7.0
482.0,486.0,1914.0,-2.0
477.0,477.0,1864.0,-2.0
465.0,477.0,1784.0,-2.0
489.0,477.0,1784.0,-2.0
485.0,480.0,1784.0,-2.0
485.0,478.0,1692.0,-2.0
483.0,483.0,1613.0,-2.0
483.0,483.0,1613.0,-7.0
475.0,484.0,1586.0,-2.0
489.0,484.0,1486.0,-2.0
495.0,484.0,1401.0,-2.0
506.0,484.0,1325.0,-2.0
511.0,468.0,998.0,-2.0
511.0,1978.0,998.0,-2.0
491.0,2197.0,915.0,-12.0
510.0,2229.0,853.0,-12.0
535.0,1792.0,804.0,-16.0
978.0,1136.0,794.0,-12.0
1319.0,1136.0,1124.0,-7.0
1288.0,667.0,1247.0,-2.0
1344.0,533.0,1102.0,-7.0
1259.0,569.0,1049.0,-12.0
943.0,625.0,1049.0,-12.0
943.0,569.0,1941.0,-12.0
626.0,522.0,2218.0,-7.0
542.0,478.0,2218.0,-7.0
496.0,478.0,2133.0,-7.0
477.0,464.0,2133.0,-7.0
477.0,464.0,2133.0,-7.0
483.0,449.0,2054.0,-2.0
470.0,450.0,2002.0,-2.0
478.0,450.0,2063.0,-2.0
487.0,444.0,1933.0,3.0
498.0,444.0,1851.0,-2.0
473.0,464.0,1876.0,-7.0
474.0,464.0,1802.0,-7.0
461.0,466.0,1802.0,-2.0
474.0,455.0,1575.0,-2.0
477.0,455.0,1575.0,-2.0
477.0,468.0,1540.0,-2.0
470.0,451.0,1408.0,-2.0
464.0,460.0,1408.0,-2.0
464.0,464.0,1274.0,-2.0
483.0,2114.0,1138.0,-7.0
475.0,2238.0,1138.0,-12.0
520.0,1295.0,939.0,-16.0
627.0,1295.0,1052.0,-7.0
983.0,618.0,1052.0,-2.0
1139.0,618.0,1047.0,-2.0
1212.0,974.0,832.0,-7.0
1377.0,753.0,832.0,-12.0
1413.0,753.0,838.0,-12.0
1179.0,656.0,838.0,-7.0
1179.0,596.0,1556.0,-7.0
716.0,588.0,1802.0,-12.0
604.0,554.0,0.0,-12.0
538.0,503.0,2296.0,-7.0
496.0,503.0,2144.0,-2.0
483.0,470.0,2144.0,-2.0
483.0,478.0,2159.0,-2.0
479.0,479.0,2098.0,-7.0
478.0,479.0,1908.0,-2.0
478.0,473.0,1908.0,-2.0
491.0,473.0,1912.0,-2.0
490.0,468.0,1912.0,-2.0
504.0,468.0,1865.0,-2.0
504.0,471.0,1865.0,-2.0
486.0,465.0,1697.0,-2.0
492.0,472.0,1706.0,-7.0
492.0,465.0,1706.0,-2.0
497.0,460.0,1530.0,-2.0
504.0,455.0,1522.0,-2.0
521.0,455.0,1335.0,-2.0
498.0,455.0,1181.0,-2.0
498.0,2270.0,1181.0,-12.0
507.0,2110.0,969.0,-12.0
564.0,1238.0,902.0,-12.0
684.0,1044.0,851.0,-7.0
991.0,926.0,828.0,-7.0
1174.0,933.0,817.0,-12.0
1328.0,933.0,854.0,-12.0
1466.0,669.0,854.0,-7.0
1110.0,597.0,1193.0,-7.0
933.0,597.0,1295.0,-7.0
933.0,595.0,1681.0,-12.0
661.0,590.0,2145.0,-12.0
576.0,539.0,0.0,-12.0
500.0,539.0,2217.0,-7.0
477.0,485.0,2117.0,-2.0
477.0,477.0,2117.0,-2.0
486.0,477.0,2023.0,-2.0
482.0,472.0,2023.0,-2.0
488.0,468.0,1994.0,-2.0
488.0,476.0,1994.0,-2.0
478.0,476.0,1906.0,-7.0
475.0,482.0,1756.0,-7.0
475.0,482.0,1808.0,-2.0
481.0,482.0,1808.0,-2.0
505.0,475.0,1686.0,-2.0
490.0,469.0,1553.0,-2.0
491.0,478.0,1440.0,-2.0
491.0,470.0,1440.0,-2.0
501.0,484.0,1305.0,-2.0
487.0,484.0,1158.0,-2.0
485.0,2281.0,0.0,-7.0
487.0,2271.0,893.0,-12.0
487.0,2265.0,893.0,-16.0
487.0,1406.0,893.0,-12.0
